user_id,group_id
tgibbs27,Team 1
srobe216,Team 1
ktiller5,Team 1
jrobe394,Team 1
fstrick2,Team 1
tbrow200,Team 2A
jcosby10,Team 2A
dpiment1,Team 2A
bdelane4,Team 2A
aelekwa,Team 2A
zhildebr,Team 2B
vmetuge,Team 2B
ubobbitt,Team 2B
hzenker,Team 2B
pmampane,Team 2B
nkamanu,Team 2C
slawal3,Team 2C
holadele,Team 2C
dadapa,Team 2C
dpydi,Team 2C
tcox39,Team 3
svempati,Team 3
rchiluku,Team 3
nkyathag,Team 3
abhimana,Team 3
spatha,Team 5A
ryarava,Team 5A
mvorugan,Team 5A
dvarri,Team 5A
aallenki,Team 5A
lanimasa,Team 5B
cboakyed,Team 5B
athack10,Team 5B
aadeyem5,Team 5B
andiay11,Team 5B
sdundoo,Team 6
nnemmika,Team 6
jpate140,Team 6
dsharma8,Team 6
ctayl199,Team 6
mdenni34,Team 8
jhopki45,Team 8
bdurden4,Team 8
agaie,Team 8
